2016-11-07_12:00;14;10;0.0;219.0;1200;14;11;113;0.1;66;10;1004;31;14
2016-11-07_13:00;14;10;0.0;219.0;1300;13;11;113;0.1;64;10;1005;22;13
2016-11-07_14:00;14;10;0.0;219.0;1400;13;10;113;0.0;62;10;1006;13;13
2016-11-07_15:00;14;10;0.0;219.0;1500;13;10;113;0.0;60;10;1007;5;13
2016-11-07_16:00;14;10;0.0;219.0;1600;11;8;113;0.0;66;10;1008;5;11
2016-11-07_17:00;14;10;0.0;219.0;1700;10;5;113;0.0;72;10;1009;5;10
2016-11-07_18:00;14;10;0.0;219.0;1800;8;3;113;0.0;78;10;1010;6;8
2016-11-07_19:00;14;10;0.0;219.0;1900;7;3;113;0.0;80;10;1010;8;7
2016-11-07_21:00;14;10;0.0;219.0;2100;5;4;116;0.0;84;10;1011;13;5
2016-11-07_22:00;14;10;0.0;219.0;2200;5;4;116;0.0;85;9;1011;23;5
2016-11-07_20:00;14;10;0.0;219.0;2000;6;3;116;0.0;82;10;1011;11;6
2016-11-08_00:00;8;4;0.0;196.8;0000;5;4;266;0.1;86;7;1011;44;5
2016-11-07_23:00;14;10;0.0;219.0;2300;5;4;266;0.1;85;8;1011;34;5
2016-11-08_01:00;8;4;0.0;196.8;0100;5;4;266;0.2;87;6;1011;58;5
2016-11-08_02:00;8;4;0.0;196.8;0200;4;4;266;0.2;88;4;1011;73;4
2016-11-08_03:00;8;4;0.0;196.8;0300;4;4;266;0.3;89;2;1011;87;4
2016-11-08_04:00;8;4;0.0;196.8;0400;4;4;266;0.4;90;3;1010;92;4
2016-11-08_05:00;8;4;0.0;196.8;0500;3;4;296;0.6;92;4;1010;96;3
2016-11-08_06:00;8;4;0.0;196.8;0600;3;4;296;0.7;93;4;1010;100;3
2016-11-08_07:00;8;4;0.0;196.8;0700;4;4;296;0.9;93;6;1010;99;4
2016-11-08_08:00;8;4;0.0;196.8;0800;4;4;296;1.2;94;7;1009;99;4
2016-11-08_09:00;8;4;0.0;196.8;0900;5;4;296;1.4;95;9;1009;98;5
2016-11-08_10:00;8;4;0.0;196.8;1000;5;4;296;1.6;93;9;1008;98;5
2016-11-08_11:00;8;4;0.0;196.8;1100;6;4;296;1.8;92;9;1008;97;6
2016-11-08_12:00;8;4;0.0;196.8;1200;6;3;296;2.0;91;9;1008;97;6
2016-11-08_13:00;8;4;0.0;196.8;1300;7;3;296;1.7;91;9;1007;95;7
2016-11-08_14:00;8;4;0.0;196.8;1400;7;3;263;1.5;90;8;1007;93;7
2016-11-08_15:00;8;4;0.0;196.8;1500;7;3;263;1.2;90;8;1007;91;7
2016-11-08_16:00;8;4;0.0;196.8;1600;7;3;263;0.8;92;6;1007;84;7
2016-11-08_17:00;8;4;0.0;196.8;1700;7;3;143;0.5;94;5;1007;76;7
2016-11-08_18:00;8;4;0.0;196.8;1800;7;3;143;0.1;96;4;1007;69;7
2016-11-08_19:00;8;4;0.0;196.8;1900;6;3;143;0.1;96;3;1007;68;6
2016-11-08_20:00;8;4;0.0;196.8;2000;6;3;143;0.0;96;3;1007;67;6
2016-11-08_21:00;8;4;0.0;196.8;2100;5;3;143;0.0;97;2;1007;66;5
2016-11-08_22:00;8;4;0.0;196.8;2200;5;4;143;0.0;97;2;1007;66;5
2016-11-08_23:00;8;4;0.0;196.8;2300;4;4;143;0.0;97;2;1007;65;4
2016-11-09_00:00;8;6;0.0;196.8;0000;4;4;143;0.0;96;2;1007;64;4
2016-11-09_01:00;8;6;0.0;196.8;0100;4;4;143;0.2;97;3;1006;63;4
2016-11-09_02:00;8;6;0.0;196.8;0200;4;5;296;0.4;97;4;1006;62;4
2016-11-09_03:00;8;6;0.0;196.8;0300;4;5;296;0.6;97;4;1006;61;4
2016-11-09_04:00;8;6;0.0;196.8;0400;4;4;296;1.0;97;6;1006;71;4
2016-11-05_01:00;10;0;0.0;219.0;0100;-1;6;116;0.0;73;10;1024;23;-1
2016-11-09_05:00;8;6;0.0;196.8;0500;5;4;296;1.3;96;7;1006;81;5
2016-11-09_08:00;8;6;0.0;196.8;0800;6;3;266;1.2;94;7;1005;91;6
2016-11-09_06:00;8;6;0.0;196.8;0600;5;4;296;1.7;96;9;1005;91;5
2016-11-09_07:00;8;6;0.0;196.8;0700;5;3;296;1.4;95;8;1005;91;5
2016-11-09_09:00;8;6;0.0;196.8;0900;6;3;266;0.9;93;7;1004;91;6
